Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator,Hour,Day_of_Week,Month,Amount_Ratio,Speed_Amount_Ratio,Speed_X_Amount
Sedan,FTG-930-LPO-211,A-101,Express,Medium,120,100,"12.84197701525119, 77.67547528176169",70,Fraud,7,4,5,1.2,0.5833333333333334,8400
SUV,FTG-931-ZAS-987,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",93,Not Fraud,23,2,5,1.0,0.62,13950
Bus ,FTG-932-IXC-654,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",58,Not Fraud,14,4,6,1.0,0.17058823529411765,19720
Car,FTG-933-JOP-321,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",84,Not Fraud,6,2,6,1.0,0.84,8400
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",69,Not Fraud,22,3,7,inf,inf,0
Truck,FTG-935-EDC-765,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",97,Not Fraud,13,1,8,1.0,0.2852941176470588,32980
Van,FTG-936-OKM-432,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",47,Not Fraud,5,2,8,1.0,0.36153846153846153,6110
Sedan,FTG-937-NJI-109,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",82,Not Fraud,20,0,9,1.0,0.6833333333333333,9840
SUV,FTG-938-LKJ-876,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",61,Not Fraud,12,2,9,1.0,0.4066666666666667,9150
Bus ,FTG-939-UTY-542,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",89,Not Fraud,3,0,10,1.0,0.26176470588235295,30260
Car,FTG-940-POU-210,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",54,Not Fraud,18,1,10,1.0,0.54,5400
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",78,Not Fraud,10,6,11,inf,inf,0
Truck,FTG-942-VBN-654,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",65,Not Fraud,1,0,11,1.0,0.19117647058823528,22100
Van,FTG-943-QWE-321,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",92,Not Fraud,17,5,12,1.0,0.7076923076923077,11960
Sedan,FTG-944-MKH-096,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",51,Not Fraud,8,6,12,1.0,0.425,6120
SUV,FTG-945-DCF-765,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",76,Not Fraud,0,6,1,1.0,0.5066666666666667,11400
Bus ,FTG-946-POI-432,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",60,Not Fraud,15,2,1,1.0,0.17647058823529413,20400
Car,FTG-947-XCV-109,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",85,Not Fraud,6,3,2,1.0,0.85,8500
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",67,Not Fraud,22,1,2,inf,inf,0
Truck,FTG-949-RFD-543,C-103,Regular,Large,340,90,"12.84197701525119, 77.67547528176169",94,Fraud,13,3,3,3.7777777777777777,0.27647058823529413,31960
Van,FTG-950-HGT-210,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",46,Not Fraud,5,4,3,1.0,0.35384615384615387,5980
Sedan,FTG-951-YUI-987,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",81,Not Fraud,20,2,4,1.0,0.675,9720
SUV,FTG-952-BVC-656,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",63,Not Fraud,11,4,5,1.0,0.42,9450
Bus ,FTG-953-NBH-321,C-103,Regular,Large,340,150,"12.84197701525119, 77.67547528176169",87,Fraud,3,2,5,2.2666666666666666,0.25588235294117645,29580
Car,FTG-954-KJH-098,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",52,Not Fraud,18,3,6,1.0,0.52,5200
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",74,Not Fraud,10,1,6,inf,inf,0
Truck,FTG-956-LMK-432,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",58,Not Fraud,1,2,7,1.0,0.17058823529411765,19720
Van,FTG-957-PLN-109,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",83,Not Fraud,17,0,7,1.0,0.6384615384615384,10790
Sedan,FTG-958-VFR-876,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",71,Not Fraud,8,1,8,1.0,0.5916666666666667,8520
SUV,FTG-959-WSX-543,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",98,Not Fraud,23,6,9,1.0,0.6533333333333333,14700
Bus ,FTG-960-QAZ-210,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",48,Not Fraud,15,1,9,1.0,0.1411764705882353,16320
Car,FTG-961-POU-987,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",85,Not Fraud,6,6,10,1.0,0.85,8500
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",66,Not Fraud,22,0,10,inf,inf,0
Truck,FTG-963-ZXC-321,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",93,Not Fraud,13,5,11,1.0,0.2735294117647059,31620
Van,FTG-964-OKM-097,B-102,Express,Medium,130,100,"12.84197701525119, 77.67547528176169",54,Fraud,5,6,11,1.3,0.4153846153846154,7020
Sedan,FTG-965-LKJ-765,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",80,Not Fraud,21,4,12,1.0,0.6666666666666666,9600
SUV,FTG-966-HGT-432,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",62,Not Fraud,12,6,12,1.0,0.41333333333333333,9300
Bus ,FTG-967-MKF-109,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",89,Not Fraud,4,5,1,1.0,0.26176470588235295,30260
Car,FTG-968-DCV-876,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",45,Not Fraud,19,1,1,1.0,0.45,4500
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",77,Not Fraud,11,3,2,inf,inf,0
Truck,FTG-970-POI-210,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",70,Not Fraud,2,1,2,1.0,0.20588235294117646,23800
Van,FTG-971-WSX-989,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",92,Not Fraud,17,2,3,1.0,0.7076923076923077,11960
Sedan,FTG-972-QAZ-654,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",49,Not Fraud,9,3,3,1.0,0.4083333333333333,5880
SUV,FTG-973-KJH-321,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",78,Not Fraud,0,1,4,1.0,0.52,11700
Bus ,FTG-974-VFR-099,C-103,Express,Large,340,100,"12.84197701525119, 77.67547528176169",67,Fraud,16,2,5,3.4,0.19705882352941176,22780
Car,FTG-975-YUI-765,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",95,Not Fraud,7,0,5,1.0,0.95,9500
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",56,Not Fraud,23,1,6,inf,inf,0
Truck,FTG-977-LMK-109,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",83,Not Fraud,14,0,6,1.0,0.24411764705882352,28220
Van,FTG-978-NJH-876,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",68,Not Fraud,5,1,7,1.0,0.5230769230769231,8840
Sedan,FTG-979-RFD-543,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",96,Not Fraud,21,6,7,1.0,0.8,11520
SUV,FTG-980-TGB-210,B-102,Express,Large,150,130,"12.84197701525119, 77.67547528176169",47,Fraud,12,1,8,1.1538461538461537,0.31333333333333335,7050
Bus ,FTG-981-BVC-989,C-103,Regular,Large,340,100,"12.84197701525119, 77.67547528176169",82,Fraud,4,6,9,3.4,0.2411764705882353,27880
Car,FTG-982-XCV-654,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",59,Not Fraud,19,0,9,1.0,0.59,5900
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",87,Not Fraud,10,5,10,inf,inf,0
Truck,FTG-984-POU-098,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",50,Not Fraud,2,6,10,1.0,0.14705882352941177,17000
Van,FTG-985-ZXC-765,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",76,Not Fraud,17,4,11,1.0,0.5846153846153846,9880
Sedan,FTG-986-PLM-432,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",65,Not Fraud,9,5,11,1.0,0.5416666666666666,7800
SUV,FTG-987-HGT-104,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",90,Not Fraud,0,3,12,1.0,0.6,13500
Bus ,FTG-988-WSX-876,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",53,Not Fraud,16,4,12,1.0,0.15588235294117647,18020
Car,FTG-989-QAZ-543,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",79,Not Fraud,7,4,1,1.0,0.79,7900
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",73,Not Fraud,22,0,1,inf,inf,0
Truck,FTG-991-YUI-987,C-103,Regular,Large,340,150,"12.84197701525119, 77.67547528176169",97,Fraud,14,5,2,2.2666666666666666,0.2852941176470588,32980
Van,FTG-992-BVC-654,B-102,Express,Medium,130,100,"12.84197701525119, 77.67547528176169",44,Fraud,5,6,2,1.3,0.3384615384615385,5720
Sedan,FTG-993-NBH-321,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",81,Not Fraud,21,4,3,1.0,0.675,9720
SUV,FTG-994-KJH-098,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",64,Not Fraud,12,6,4,1.0,0.4266666666666667,9600
Bus ,FTG-995-EDC-765,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",93,Not Fraud,3,4,4,1.0,0.2735294117647059,31620
Car,FTG-996-LMK-432,A-101,Express,Small,100,80,"12.84197701525119, 77.67547528176169",57,Fraud,19,5,5,1.25,0.57,5700
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",86,Not Fraud,10,4,5,inf,inf,0
Truck,FTG-998-VFR-876,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",71,Not Fraud,2,5,6,1.0,0.2088235294117647,24140
Van,FTG-999-WSX-543,B-102,Regular,Medium,130,100,"12.84197701525119, 77.67547528176169",99,Fraud,17,3,6,1.3,0.7615384615384615,12870
Sedan,FTG-000-QAZ-210,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",46,Not Fraud,9,4,7,1.0,0.38333333333333336,5520
SUV,FTG-001-XYZ-987,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",82,Not Fraud,0,2,8,1.0,0.5466666666666666,12300
Bus ,FTG-002-ABC-654,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",67,Not Fraud,15,3,8,1.0,0.19705882352941176,22780
Car,FTG-003-PQR-321,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",94,Not Fraud,7,1,9,1.0,0.94,9400
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",52,Not Fraud,22,2,9,inf,inf,0
Truck,FTG-005-LMN-765,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",88,Not Fraud,14,1,10,1.0,0.25882352941176473,29920
Van,FTG-006-GHI-411,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",63,Not Fraud,5,2,10,1.0,0.4846153846153846,8190
Sedan,FTG-007-JKL-109,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",91,Not Fraud,21,0,11,1.0,0.7583333333333333,10920
SUV,FTG-008-UVW-876,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",55,Not Fraud,12,2,11,1.0,0.36666666666666664,8250
Bus ,FTG-009-RST-543,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",81,Not Fraud,3,0,12,1.0,0.23823529411764705,27540
Car,FTG-010-MNO-210,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",58,Not Fraud,19,0,1,1.0,0.58,5800
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",83,Not Fraud,10,4,1,inf,inf,0
Truck,FTG-012-ZXC-654,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",66,Not Fraud,2,5,2,1.0,0.19411764705882353,22440
Van,FTG-013-POI-321,B-102,Regular,Medium,130,90,"12.84197701525119, 77.67547528176169",91,Fraud,17,3,2,1.4444444444444444,0.7,11830
Sedan,FTG-014-KJH-099,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",49,Not Fraud,8,5,3,1.0,0.4083333333333333,5880
SUV,FTG-015-DCV-765,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",77,Not Fraud,0,6,3,1.0,0.5133333333333333,11550
Bus ,FTG-016-NBH-432,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",59,Not Fraud,15,4,4,1.0,0.17352941176470588,20060
Car,FTG-017-LKI-110,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",88,Not Fraud,7,5,4,1.0,0.88,8800
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",68,Not Fraud,22,3,5,inf,inf,0
Truck,FTG-019-FRD-542,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",93,Not Fraud,14,5,6,1.0,0.2735294117647059,31620
Van,FTG-020-TYU-210,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",72,Not Fraud,5,3,6,1.0,0.5538461538461539,9360
Sedan,FTG-021-BVC-987,A-101,Regular,Medium,120,100,"12.84197701525119, 77.67547528176169",90,Fraud,20,4,7,1.2,0.75,10800
SUV,FTG-022-XSW-659,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",53,Not Fraud,12,3,7,1.0,0.35333333333333333,7950
Bus ,FTG-023-NMK-321,C-103,Regular,Large,340,150,"12.84197701525119, 77.67547528176169",80,Fraud,3,4,8,2.2666666666666666,0.23529411764705882,27200
Car,FTG-024-CDE-098,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",67,Not Fraud,19,2,8,1.0,0.67,6700
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",96,Not Fraud,10,3,9,inf,inf,0
Truck,FTG-026-PLM-432,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",45,Not Fraud,1,1,10,1.0,0.1323529411764706,15300
Van,FTG-027-HGT-109,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",79,Not Fraud,17,2,10,1.0,0.6076923076923076,10270
Sedan,FTG-028-WSX-876,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",62,Not Fraud,8,0,11,1.0,0.5166666666666667,7440
SUV,FTG-029-QAZ-544,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",86,Not Fraud,0,1,11,1.0,0.5733333333333334,12900
Bus ,FTG-030-LPO-210,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",50,Not Fraud,15,6,12,1.0,0.14705882352941177,17000
Car,FTG-031-ZAS-987,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",75,Not Fraud,7,0,12,1.0,0.75,7500
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",70,Not Fraud,22,6,1,inf,inf,0
Truck,FTG-033-JOP-321,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",93,Not Fraud,13,3,1,1.0,0.2735294117647059,31620
Van,FTG-034-RFV-098,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",58,Not Fraud,5,4,2,1.0,0.4461538461538462,7540
Sedan,FTG-035-EDC-790,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",84,Not Fraud,20,2,2,1.0,0.7,10080
SUV,FTG-036-OKM-432,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",69,Not Fraud,12,4,3,1.0,0.46,10350
Bus ,FTG-037-NJI-109,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",97,Not Fraud,3,5,3,1.0,0.2852941176470588,32980
Car,FTG-038-LKJ-876,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",47,Not Fraud,19,3,4,1.0,0.47,4700
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",82,Not Fraud,10,5,4,inf,inf,0
Truck,FTG-041-POU-220,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",61,Not Fraud,1,3,5,1.0,0.17941176470588235,20740
Van,FTG-041-ZXC-987,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",89,Not Fraud,17,4,6,1.0,0.6846153846153846,11570
Sedan,FTG-040-PXU-210,A-101,Express,Medium,120,100,"12.84197701525119, 77.67547528176169",54,Fraud,8,2,6,1.2,0.45,6480
SUV,FTG-044-MXH-098,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",78,Not Fraud,0,3,7,1.0,0.52,11700
Bus ,FTG-042-MKH-098,C-103,Express,Large,340,150,"12.84197701525119, 77.67547528176169",65,Fraud,15,1,7,2.2666666666666666,0.19117647058823528,22100
Car,FTG-045-DCF-765,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",92,Not Fraud,7,2,8,1.0,0.92,9200
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",51,Not Fraud,23,0,8,inf,inf,0
Truck,FTG-047-XCV-109,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",76,Not Fraud,14,2,9,1.0,0.2235294117647059,25840
Van,FTG-048-JKL-876,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",60,Not Fraud,6,0,10,1.0,0.46153846153846156,7800
Sedan,FTG-049-RFD-543,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",85,Not Fraud,21,1,10,1.0,0.7083333333333334,10200
SUV,FTG-050-HGT-210,B-102,Express,Large,150,120,"12.84197701525119, 77.67547528176169",67,Fraud,13,0,11,1.25,0.44666666666666666,10050
Bus ,FTG-051-YUI-987,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",94,Not Fraud,4,1,11,1.0,0.27647058823529413,31960
Car,FTG-052-BVC-654,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",46,Not Fraud,20,6,12,1.0,0.46,4600
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",81,Not Fraud,12,1,12,inf,inf,0
Truck,FTG-054-KVH-098,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",63,Not Fraud,3,0,1,1.0,0.18529411764705883,21420
Van,FTG-055-EDC-765,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",87,Not Fraud,19,3,1,1.0,0.6692307692307692,11310
Sedan,FTG-056-LMK-432,A-101,Express,Medium,120,60,"12.84197701525119, 77.67547528176169",52,Fraud,10,5,2,2.0,0.43333333333333335,6240
SUV,FTG-057-PLN-109,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",74,Not Fraud,1,3,2,1.0,0.49333333333333335,11100
Bus ,FTG-058-VFR-876,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",58,Not Fraud,17,4,3,1.0,0.17058823529411765,19720
Car,FTG-059-WSX-543,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",83,Not Fraud,8,5,3,1.0,0.83,8300
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",71,Not Fraud,0,3,4,inf,inf,0
Truck,FTG-060-QAZ-211,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",98,Not Fraud,15,4,4,1.0,0.28823529411764703,33320
Van,FTG-060-QAZ-212,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",48,Not Fraud,7,2,5,1.0,0.36923076923076925,6240
Sedan,FTG-060-QAZ-213,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",85,Not Fraud,22,2,5,1.0,0.7083333333333334,10200
SUV,FTG-060-QAZ-214,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",66,Not Fraud,13,0,6,1.0,0.44,9900
Bus ,FTG-060-QAZ-215,C-103,Regular,Large,340,100,"12.84197701525119, 77.67547528176169",93,Fraud,5,1,7,3.4,0.2735294117647059,31620
Car,FTG-060-QAZ-216,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",54,Not Fraud,20,6,7,1.0,0.54,5400
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",80,Not Fraud,12,1,8,inf,inf,0
Truck,FTG-060-QAZ-218,C-103,Express,Large,340,90,"12.84197701525119, 77.67547528176169",62,Fraud,3,6,8,3.7777777777777777,0.18235294117647058,21080
Van,FTG-060-QAZ-219,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",89,Not Fraud,18,0,9,1.0,0.6846153846153846,11570
Sedan,FTG-054-KJH-098,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",45,Not Fraud,9,5,9,1.0,0.375,5400
SUV,FTG-054-KJH-097,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",77,Not Fraud,0,6,10,1.0,0.5133333333333333,11550
Bus ,FTG-054-KJH-100,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",70,Not Fraud,16,4,11,1.0,0.20588235294117646,23800
Car,FTG-054-KJH-101,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",92,Not Fraud,7,5,11,1.0,0.92,9200
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",49,Not Fraud,23,3,12,inf,inf,0
Truck,FTG-054-KJH-103,C-103,Regular,Large,340,100,"12.84197701525119, 77.67547528176169",78,Fraud,14,5,12,3.4,0.22941176470588234,26520
Van,FTG-054-KJH-104,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",67,Not Fraud,5,1,1,1.0,0.5153846153846153,8710
Sedan,FTG-054-KJH-105,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",95,Not Fraud,21,4,1,1.0,0.7916666666666666,11400
SUV,FTG-054-KJH-110,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",56,Not Fraud,12,1,2,1.0,0.37333333333333335,8400
Bus ,FTG-054-KJH-107,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",83,Not Fraud,4,2,3,1.0,0.24411764705882352,28220
Car,FTG-044-MKH-098,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",68,Not Fraud,19,0,3,1.0,0.68,6800
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",96,Not Fraud,11,2,4,inf,inf,0
Truck,FTG-044-MKH-100,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",47,Not Fraud,2,0,4,1.0,0.13823529411764707,15980
Van,FTG-044-MKH-101,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",82,Not Fraud,17,1,5,1.0,0.6307692307692307,10660
Sedan,FTG-044-MKH-106,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",59,Not Fraud,9,6,5,1.0,0.49166666666666664,7080
SUV,FTG-044-MKH-103,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",87,Not Fraud,0,0,6,1.0,0.58,13050
Bus ,FTG-044-MKH-104,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",50,Not Fraud,16,5,7,1.0,0.14705882352941177,17000
Car,FTG-040-POU-210,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",76,Not Fraud,7,6,7,1.0,0.76,7600
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",65,Not Fraud,22,4,8,inf,inf,0
Truck,FTG-040-POU-212,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",90,Not Fraud,14,6,8,1.0,0.2647058823529412,30600
Van,FTG-040-POU-213,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",53,Not Fraud,5,4,9,1.0,0.4076923076923077,6890
Sedan,FTG-040-PQU-218,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",79,Not Fraud,21,5,9,1.0,0.6583333333333333,9480
SUV,FTG-040-POU-215,B-102,Express,Large,150,150,"12.84197701525119, 77.67547528176169",73,Not Fraud,12,3,10,1.0,0.4866666666666667,10950
Bus ,FTG-040-POU-216,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",97,Not Fraud,4,4,10,1.0,0.2852941176470588,32980
Car,FTG-040-POU-217,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",44,Not Fraud,19,2,11,1.0,0.44,4400
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",81,Not Fraud,10,3,11,inf,inf,0
Truck,FTG-040-POU-219,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",64,Not Fraud,2,1,12,1.0,0.18823529411764706,21760
Van,FTG-040-POU-220,B-102,Regular,Medium,130,100,"12.84197701525119, 77.67547528176169",93,Fraud,17,1,1,1.3,0.7153846153846154,12090
Sedan,FTG-040-POU-221,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",57,Not Fraud,9,4,1,1.0,0.475,6840
SUV,FTG-122-XSW-653,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",86,Not Fraud,0,6,2,1.0,0.5733333333333334,12900
Bus ,FTG-123-NMK-320,C-103,Express,Large,340,150,"12.84197701525119, 77.67547528176169",71,Fraud,16,4,2,2.2666666666666666,0.2088235294117647,24140
Car,FTG-124-CDE-095,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",99,Not Fraud,7,5,3,1.0,0.99,9900
Motorcycle,FTG-000-QAZ-210,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",46,Not Fraud,22,6,3,inf,inf,0
Truck,FTG-126-PQM-431,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",82,Not Fraud,14,4,4,1.0,0.2411764705882353,27880
Van,FTG-127-HGT-108,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",67,Not Fraud,5,5,4,1.0,0.5153846153846153,8710
Sedan,FTG-128-WSX-887,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",94,Not Fraud,21,3,5,1.0,0.7833333333333333,11280
SUV,FTG-129-QAZ-542,B-102,Express,Large,150,100,"12.84197701525119, 77.67547528176169",52,Fraud,12,5,6,1.5,0.3466666666666667,7800
